"psraid","sample","month","lang","cregion","state","form","sex","q1","q3","eminuse","intfreq","bbhome3","device1a","smart1","cable1","web1a","q5","date3","date4","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","game4","stud","smjob1","snsjob2a","snsjob2b","auto3","marital","hh1","par","educ2","disa","party","ideo","hisp","race","weight","age","empl"
"100006","1","June","English","3","51","1","Female","1","2","1","1","1","1","1","1","1","1","2","1","2","2","1","9","3","9","3","2","1","2","3","2","2","2","2","1","4","1","2","2","9","1","2","1",2.25806451612903,47,"Unemployed"
"100006","1","June","English","3","51","1","Female","1","2","1","1","1","1","1","1","1","1","2","1","2","2","1","9","3","9","3","2","1","2","3","2","2","2","2","1","4","1","2","2","9","1","2","1",2.25806451612903,47,"Unemployed"
"100039","1","June","English","3","37","2","Female","1","2","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","2","3","1","2","2","3","2","2","2","2","1","3","2","2","2","1","1","2","1",5.03225806451613,40,"Employed"
"100039","1","June","English","3","37","2","Female","1","2","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","2","3","1","2","2","3","2","2","2","2","1","3","2","2","2","1","1","2","1",5.03225806451613,40,"Employed"
"100039","1","June","English","3","37","2","Female","1","2","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","2","3","1","2","2","3","2","2","2","2","1","3","2","2","2","1","1","2","1",5.03225806451613,40,"Employed"
"100039","1","June","English","3","37","2","Female","1","2","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","2","3","1","2","2","3","2","2","2","2","1","3","2","2","2","1","1","2","1",5.03225806451613,40,"Employed"
"100039","1","June","English","3","37","2","Female","1","2","1","2","2","1","1","1","1","1","1","1","2","2","1","2","2","2","3","1","2","2","3","2","2","2","2","1","3","2","2","2","1","1","2","1",5.03225806451613,40,"Employed"
"100043","1","June","English","2","20","1","Female","1","2","1","4","1","1","1","1","1","1","2","1","2","3","1","1","3","9","9","2","1","2","3","2","2","2","2","1","2","2","2","2","9","2","2","1",1,69,"Employed"
"100067","1","June","English","2","27","1","Male","1","3","1","1","2","1","1","1","1","1","1","1","1","1","2","3","2","3","3","2","2","1","3","2","2","2","2","1","2","2","1","2","1","1","2","1",2.61290322580645,52,"Employed"
"100067","1","June","English","2","27","1","Male","1","3","1","1","2","1","1","1","1","1","1","1","1","1","2","3","2","3","3","2","2","1","3","2","2","2","2","1","2","2","1","2","1","1","2","1",2.61290322580645,52,"Employed"
"100067","1","June","English","2","27","1","Male","1","3","1","1","2","1","1","1","1","1","1","1","1","1","2","3","2","3","3","2","2","1","3","2","2","2","2","1","2","2","1","2","1","1","2","1",2.61290322580645,52,"Employed"
"100080","1","June","English","3","45","2","Female","4","4","1","2","1","1","1","1","1","1","1","1","1","2","1","2","3","2","3","1","2","2","3","1","1","2","2","1","2","1","2","2","9","2","2","1",2.58064516129032,43,"Employed"
"100080","1","June","English","3","45","2","Female","4","4","1","2","1","1","1","1","1","1","1","1","1","2","1","2","3","2","3","1","2","2","3","1","1","2","2","1","2","1","2","2","9","2","2","1",2.58064516129032,43,"Employed"
"100080","1","June","English","3","45","2","Female","4","4","1","2","1","1","1","1","1","1","1","1","1","2","1","2","3","2","3","1","2","2","3","1","1","2","2","1","2","1","2","2","9","2","2","1",2.58064516129032,43,"Employed"
"100084","1","June","English","3"," 1","2","Female","2","2","1","2","2","1","1","1","1","1","1","1","2","2","2","1","9","9","3","1","1","2","3","1","2","2","2","1","3","2","1","2","1","1","2","1",4.64516129032258,44,"Employed"
"100084","1","June","English","3"," 1","2","Female","2","2","1","2","2","1","1","1","1","1","1","1","2","2","2","1","9","9","3","1","1","2","3","1","2","2","2","1","3","2","1","2","1","1","2","1",4.64516129032258,44,"Employed"
"100084","1","June","English","3"," 1","2","Female","2","2","1","2","2","1","1","1","1","1","1","1","2","2","2","1","9","9","3","1","1","2","3","1","2","2","2","1","3","2","1","2","1","1","2","1",4.64516129032258,44,"Employed"
"100084","1","June","English","3"," 1","2","Female","2","2","1","2","2","1","1","1","1","1","1","1","2","2","2","1","9","9","3","1","1","2","3","1","2","2","2","1","3","2","1","2","1","1","2","1",4.64516129032258,44,"Employed"
"100084","1","June","English","3"," 1","2","Female","2","2","1","2","2","1","1","1","1","1","1","1","2","2","2","1","9","9","3","1","1","2","3","1","2","2","2","1","3","2","1","2","1","1","2","1",4.64516129032258,44,"Employed"
"100118","1","June","English","3"," 1","2","Male","1","2","1","2","2","1","1","1","1","1","2","1","2","2","3","9","9","9","9","1","1","2","3","2","2","2","2","1","2","2","2","2","1","2","2","1",1.16129032258065,58,"Employed"
"100129","1","June","English","4","30","1","Female","4","4","1","1","1","1","2","2","1","2","1","1","1","1","2","9","1","1","2","1","1","2","3","2","1","1","3","6","1","1","1","2","9","2","2","4",7.16129032258065,31,"Employed"
"100129","1","June","English","4","30","1","Female","4","4","1","1","1","1","2","2","1","2","1","1","1","1","2","9","1","1","2","1","1","2","3","2","1","1","3","6","1","1","1","2","9","2","2","4",7.16129032258065,31,"Employed"
"100129","1","June","English","4","30","1","Female","4","4","1","1","1","1","2","2","1","2","1","1","1","1","2","9","1","1","2","1","1","2","3","2","1","1","3","6","1","1","1","2","9","2","2","4",7.16129032258065,31,"Employed"
"100129","1","June","English","4","30","1","Female","4","4","1","1","1","1","2","2","1","2","1","1","1","1","2","9","1","1","2","1","1","2","3","2","1","1","3","6","1","1","1","2","9","2","2","4",7.16129032258065,31,"Employed"
"100129","1","June","English","4","30","1","Female","4","4","1","1","1","1","2","2","1","2","1","1","1","1","2","9","1","1","2","1","1","2","3","2","1","1","3","6","1","1","1","2","9","2","2","4",7.16129032258065,31,"Employed"
